Time,Registration,Payment,Get Triage Number,Measure Vital Signs,General Medicine Examination,Eye Examination,ENT Examination,Dental Examination,Gynecological Examination,Breast Examination,Blood Test,Urine Test,In-depth Eye Examination,ENT Endoscopy,Electrocardiogram (ECG),Post-bronchodilator Spirometry,General Ultrasound,Cardiac Ultrasound,Chest X-ray,DEXA Bone Density Scan,Conclusion
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,2,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,0,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,1,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19.0,0,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
20.0,0,1,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21.0,1,0,0,1,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
22.0,2,0,0,1,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
23.0,1,1,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0
